ID,AcceptedCmp1,AcceptedCmp2,Education,Marital_Status,Year_Birth,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
2968,0,0,PhD,Divorced,1943,48948,53,437,8,206,160,49,2,7,10,5,6
8601,0,0,Graduation,Married,1980,80011,3,421,76,536,82,178,2,8,6,5,4
503,0,0,Master,Married,1985,20559,88,13,1,29,3,0,2,2,0,3,8
8430,0,0,Graduation,Together,1957,21994,4,9,0,6,3,1,1,0,0,3,5
2139,0,0,Master,Married,1975,7500,19,3,1,10,3,2,3,2,0,3,5
1371,0,0,Graduation,Single,1976,79941,72,123,164,266,227,30,1,2,4,9,1
9909,0,0,2n Cycle,Married,1996,7500,24,3,18,14,15,22,3,3,1,3,9
7286,0,0,Graduation,Together,1968,41728,92,13,6,15,3,5,1,2,0,2,10
6566,0,0,PhD,Married,1954,72550,39,826,50,317,50,38,9,5,2,12,8
8614,0,0,Graduation,Widow,1957,65486,29,245,19,125,37,67,1,4,2,10,2
4114,0,0,Master,Married,1964,79143,2,650,37,780,27,167,1,6,9,13,3
1331,0,0,Graduation,Single,1977,35790,54,12,6,20,30,1,2,2,0,3,7
2225,1,0,Graduation,Divorced,1977,82582,54,510,120,550,156,40,1,4,9,7,1
9381,0,0,Graduation,Married,1978,66373,57,328,9,124,12,24,7,4,2,10,3
6260,0,0,Master,Together,1955,82384,55,984,51,432,180,120,1,3,10,13,1
10383,0,0,Graduation,Divorced,1966,70287,30,295,35,482,121,120,1,5,5,10,3
7437,0,0,Graduation,Single,1988,27938,31,13,0,8,2,1,1,1,0,4,3
8375,0,0,PhD,Married,1968,55954,63,447,0,28,0,0,3,8,2,6,7
6853,0,0,Master,Single,1982,75777,12,712,26,538,69,13,1,3,6,11,1
3076,0,0,Graduation,Together,1975,66653,18,452,18,102,16,18,4,4,2,12,3
1012,0,0,Graduation,Single,1952,61823,26,523,7,134,37,14,4,8,2,10,7
6518,0,0,PhD,Widow,1951,67680,8,546,0,48,0,6,1,7,3,8,5
4137,0,0,Graduation,Together,1948,70666,29,398,40,367,119,122,1,7,4,4,4
8082,0,0,Graduation,Married,1971,25721,75,1,3,6,3,6,1,1,1,2,7
1386,0,0,Graduation,Together,1967,32474,0,10,0,1,0,0,1,1,0,2,7
9369,1,0,2n Cycle,Single,1979,88194,19,688,14,309,201,24,1,11,10,10,5
4477,0,0,Graduation,Together,1958,69096,4,247,49,159,7,82,1,5,2,10,4
1357,0,0,Graduation,Together,1970,74854,90,856,59,487,58,29,7,2,5,5,5
1402,0,0,Master,Married,1954,66991,1,496,36,460,189,60,3,4,8,6,3
6312,0,0,Graduation,Married,1959,65031,29,258,107,291,84,37,4,10,3,13,7
8132,0,0,PhD,Married,1975,60631,88,565,6,65,0,6,5,9,2,8,7
1050,0,0,Graduation,Married,1952,28332,58,14,10,13,4,15,1,2,1,4,2
5846,0,0,Graduation,Divorced,1977,40246,68,2,1,6,2,1,1,1,0,2,6
1859,0,0,Master,Married,1972,75251,34,721,111,925,97,18,1,7,6,5,5
7503,0,0,Graduation,Single,1976,75825,40,1032,105,779,137,105,0,5,8,9,4
10401,0,0,2n Cycle,Together,1976,26326,12,1,0,5,0,3,1,0,0,3,3
1618,0,0,Graduation,Together,1965,56046,9,577,0,64,0,0,2,10,1,8,8
3332,0,0,Graduation,Single,1985,29760,87,64,4,68,7,5,4,3,1,4,8
2261,0,0,Graduation,Married,1969,26304,5,4,1,5,2,0,1,1,0,2,7
5346,0,0,2n Cycle,Married,1973,23559,87,25,5,19,7,0,3,3,0,3,7
4119,0,0,Master,Together,1963,38620,56,112,17,44,34,22,1,2,5,3,3
535,0,0,Graduation,Divorced,1987,81361,18,163,23,424,27,65,1,3,10,13,1
5268,0,0,Graduation,Married,1960,29440,95,17,8,14,10,4,2,1,0,4,7
273,0,0,Master,Married,1970,36138,48,130,0,16,0,0,5,3,1,4,7
4452,1,0,Graduation,Single,1957,50388,3,292,6,37,0,3,4,6,1,6,7
8504,0,0,Graduation,Married,1973,79593,70,350,60,568,110,133,1,5,6,7,2
771,0,0,Graduation,Together,1967,54178,79,135,9,39,4,0,1,2,2,5,2
11178,0,0,Master,Single,1972,42394,69,15,2,10,0,1,1,1,0,3,7
2230,0,0,PhD,Married,1970,23626,84,27,2,14,0,0,3,3,1,3,5
7516,0,0,Graduation,Married,1983,30096,30,5,3,11,12,5,1,2,0,3,6
7247,0,0,Graduation,Widow,1960,47916,72,505,0,26,0,0,5,7,4,6,6
11100,0,0,Graduation,Divorced,1972,51813,37,51,2,7,0,1,2,2,0,3,7
4646,1,0,2n Cycle,Married,1951,78497,44,207,26,447,75,0,1,5,7,12,2
3037,0,0,PhD,Married,1983,50150,32,135,46,92,65,61,2,5,2,7,5
1473,0,0,2n Cycle,Single,1960,47823,0,53,1,5,2,1,2,2,0,3,8
1016,0,0,PhD,Single,1959,34554,43,41,1,6,2,0,2,2,0,3,6
4518,0,0,Graduation,Together,1979,85693,59,386,172,183,185,132,2,9,5,11,5
9370,0,0,PhD,Married,1945,65846,68,562,81,276,80,40,1,6,3,6,4
8908,0,0,Graduation,Married,1959,87195,35,217,76,690,50,26,1,3,11,5,1
8373,0,0,Basic,Together,1979,24594,94,1,3,6,10,0,1,1,0,3,5
7533,0,0,Graduation,Married,1964,49096,15,144,1,32,2,1,4,4,1,4,7
2683,0,0,Graduation,Married,1969,52413,56,295,106,271,75,98,4,6,4,12,6
3629,0,0,Graduation,Single,1978,38557,17,76,3,31,4,4,2,3,1,3,7
10991,0,0,Master,Married,1960,89058,18,454,194,106,31,22,1,5,4,4,2
5077,0,0,Graduation,Together,1979,77298,46,425,115,292,23,35,1,6,6,11,3
7431,0,0,PhD,Single,1991,68126,40,1332,17,311,23,51,1,7,4,5,9
3267,0,0,Master,Together,1963,57288,27,527,0,21,0,0,3,8,1,8,6
999,0,0,Graduation,Single,1991,86037,95,490,44,125,29,20,1,6,7,11,3
9215,0,0,PhD,Married,1980,43974,19,378,0,101,0,0,5,6,4,6,7
2286,0,0,Graduation,Single,1962,50785,27,64,1,21,0,1,2,2,1,3,6
1592,1,0,Graduation,Married,1970,90765,25,547,99,812,151,82,0,4,6,5,1
367,0,0,2n Cycle,Married,1978,36550,74,47,90,94,123,103,5,9,1,5,9
5234,0,0,2n Cycle,Together,1967,30753,85,12,5,25,0,9,2,1,1,3,5
9862,0,0,Graduation,Together,1969,21918,37,1,6,7,11,5,2,2,0,3,6
9805,0,0,Master,Together,1953,56129,65,320,48,133,39,72,4,6,2,10,4
6205,0,0,Master,Single,1967,32557,13,34,3,29,0,4,3,2,1,3,5
8442,0,0,Master,Married,1985,19510,63,9,0,7,3,4,2,1,0,3,7
7386,0,0,Graduation,Divorced,1976,30992,83,17,0,14,7,3,1,1,0,3,7
7215,1,0,Graduation,Single,1983,101970,69,722,27,102,44,72,0,6,8,13,2
1491,0,0,2n Cycle,Together,1965,71488,87,162,33,124,40,28,2,3,4,7,1
11071,0,0,Graduation,Single,1984,79607,37,450,133,951,173,0,1,3,6,6,1
3381,0,0,Master,Married,1953,54348,51,70,0,16,0,0,2,2,0,4,6
11051,0,0,PhD,Together,1956,77376,72,492,19,110,16,12,4,6,3,10,4
8026,0,0,Graduation,Married,1952,62998,10,120,58,73,65,89,5,5,4,5,5
433,0,0,Master,Single,1958,61331,42,534,5,47,0,5,5,11,1,6,8
9597,0,0,Graduation,Married,1969,73448,10,236,106,189,23,41,1,7,2,9,4
5290,0,0,PhD,Married,1964,41551,51,220,0,33,3,0,5,5,1,5,8
1685,0,0,PhD,Together,1967,62981,21,796,14,590,38,44,1,4,5,13,3
5342,0,0,Basic,Divorced,1976,9548,31,0,1,3,10,6,2,1,0,3,8
9579,0,0,PhD,Married,1959,33762,61,53,1,34,2,0,3,2,2,2,8
7660,0,0,PhD,Single,1973,35860,37,15,0,8,4,2,2,1,1,2,5
1461,0,0,PhD,Divorced,1965,36921,74,17,1,12,3,1,2,2,0,3,7
821,0,0,Master,Single,1992,92859,46,962,61,921,52,61,1,5,4,12,2
11084,0,0,Master,Together,1976,65104,4,738,0,232,13,20,2,3,5,7,7
8690,0,0,Graduation,Married,1962,86111,73,399,28,756,36,40,1,5,7,10,2
2937,0,0,PhD,Single,1974,68352,47,614,16,132,43,33,3,8,5,9,6
9701,0,0,Graduation,Together,1988,41883,13,32,34,41,73,16,3,4,2,3,7
9949,0,0,Graduation,Married,1976,59809,36,598,16,141,32,41,3,3,3,6,8
10837,0,0,Graduation,Married,1975,23957,47,2,1,18,20,11,1,2,0,3,6
3120,0,0,Graduation,Together,1981,38547,49,6,1,10,0,1,1,1,0,2,8
5885,0,0,2n Cycle,Married,1973,35688,94,73,3,90,12,1,7,4,1,4,8
4050,0,0,Master,Married,1966,49605,65,42,16,29,12,20,1,2,1,4,3
3830,0,0,Master,Married,1953,59354,59,295,21,78,39,13,1,4,4,7,3
7987,0,0,Graduation,Married,1969,65747,96,346,17,48,23,13,4,8,1,6,6
7798,0,0,2n Cycle,Together,1972,46344,28,233,20,57,8,20,4,7,1,5,7
92,0,0,Graduation,Single,1988,34176,12,5,7,24,19,14,4,3,0,4,6
7055,0,0,PhD,Together,1952,61010,57,888,0,57,0,0,2,8,5,11,5
10240,0,0,Graduation,Together,1949,69372,10,997,26,269,34,13,1,10,4,6,4
3025,0,0,Graduation,Single,1958,49967,4,212,6,69,4,12,3,6,1,5,7
9283,0,0,Graduation,Single,1978,60199,49,8,1,7,2,0,1,0,0,3,4
9970,0,0,Graduation,Together,1977,55375,3,42,11,57,10,28,1,1,1,6,2
2730,0,0,Graduation,Single,1955,80317,64,536,11,387,149,91,1,3,4,10,1
2795,0,0,Master,Single,1958,30523,0,5,0,3,0,0,1,1,0,2,7
9260,0,0,PhD,Married,1945,70356,20,1349,16,249,43,16,2,10,6,9,6
8182,0,0,Graduation,Married,1984,23228,91,53,3,49,7,4,4,3,0,4,8
10095,0,0,PhD,Divorced,1975,74165,9,1001,12,240,16,12,1,5,4,10,2
8475,0,0,PhD,Married,1973,157243,98,20,2,1582,1,2,15,0,22,0,0
4370,0,0,Graduation,Together,1966,43482,83,18,1,32,6,3,3,2,0,4,6
10573,0,0,Graduation,Divorced,1953,62551,27,125,16,98,134,21,1,6,7,4,3
3712,0,0,Graduation,Divorced,1959,52332,63,212,5,33,7,0,1,3,2,6,4
6637,0,0,Graduation,Single,1988,66951,46,277,162,305,173,76,1,3,4,7,1
3152,0,0,Graduation,Together,1957,26091,84,15,10,19,8,17,3,2,1,3,5
5610,0,0,Graduation,Together,1965,33456,58,7,3,10,8,1,2,1,0,3,7
6460,0,0,Graduation,Married,1982,28718,78,12,4,6,11,8,2,2,0,3,8
1349,0,0,Graduation,Married,1970,50447,4,85,7,24,2,3,1,3,1,3,6
1880,0,0,PhD,Together,1959,53537,17,81,0,6,0,0,2,2,1,3,5
641,0,0,Graduation,Single,1967,52074,77,59,0,12,0,0,1,2,2,2,4
8717,0,0,PhD,Married,1975,80427,56,1149,71,449,69,71,1,11,8,8,5
10314,1,0,PhD,Married,1948,83837,79,847,66,119,86,89,1,9,10,5,4
10854,0,0,PhD,Married,1970,38853,90,29,0,14,0,0,2,2,0,3,7
10492,0,0,Graduation,Together,1959,38285,96,2,0,5,2,0,1,0,0,3,2
6935,1,0,2n Cycle,Married,1951,78497,44,207,26,447,75,0,1,5,7,12,2
7698,0,0,PhD,Married,1976,51650,81,152,3,22,2,5,1,4,1,4,5
3559,0,0,2n Cycle,Married,1988,16248,77,12,11,10,3,12,3,2,1,3,6
10562,0,0,Master,Married,1946,66835,21,620,26,195,34,17,1,6,4,13,2
10796,0,0,Master,Married,1984,30477,16,47,1,6,0,0,1,1,1,3,6
2563,0,0,Basic,Married,1961,28249,80,1,9,7,2,14,1,2,0,3,6
3518,0,0,Graduation,Married,1983,25271,45,10,1,18,10,4,1,1,1,2,9
5823,0,0,PhD,Single,1970,32303,63,35,0,2,0,0,2,1,0,4,5
3934,0,0,Graduation,Married,1966,61286,34,356,0,107,19,9,2,7,1,8,5
6982,0,0,Graduation,Married,1976,74068,14,783,30,537,140,76,1,4,10,9,2
6431,0,0,PhD,Married,1964,45759,13,42,1,18,3,0,2,2,0,3,7
9733,0,0,Basic,Together,1978,24882,52,1,4,10,29,0,1,1,1,2,6
5602,0,0,PhD,Together,1989,66973,98,466,22,432,147,113,1,8,7,12,3
7829,0,0,2n Cycle,Divorced,1900,36640,99,15,6,8,7,4,1,2,1,2,5
1324,0,0,Graduation,Married,1988,38872,93,23,3,21,3,19,2,3,0,3,8
326,0,0,Graduation,Married,1973,51148,38,235,6,45,8,9,4,5,1,6,6
7224,0,0,Graduation,Married,1977,31353,24,10,0,10,3,1,2,1,1,2,8
6999,0,0,Master,Married,1980,69661,80,656,16,106,32,16,1,7,3,12,3
9938,0,0,Graduation,Married,1954,80067,82,519,17,813,27,173,1,4,6,6,2
6422,0,0,Graduation,Married,1954,86718,20,344,189,482,50,33,1,5,6,5,2
3182,0,0,PhD,Single,1973,46854,81,96,1,79,7,1,6,5,1,3,8
7300,0,0,Graduation,Divorced,1952,69142,50,448,4,34,6,4,3,8,1,7,5
10424,0,0,Graduation,Single,1968,75922,60,265,138,553,224,23,1,4,4,9,1
8727,0,0,Graduation,Divorced,1978,63693,63,587,43,337,42,87,3,11,6,9,6
2798,1,0,PhD,Together,1977,102160,54,763,29,138,76,176,0,7,9,10,4
1030,0,0,PhD,Single,1965,40637,72,22,0,13,0,0,2,1,0,3,7
624,0,0,Master,Single,1984,18890,5,6,4,1,7,2,1,0,1,2,6
5176,0,0,Graduation,Together,1988,29604,88,7,6,13,7,6,1,1,0,3,9
5552,0,0,Master,Divorced,1963,48721,50,81,18,113,47,13,6,4,2,5,6
868,0,0,Graduation,Married,1966,44794,99,54,0,7,0,0,1,2,0,3,6
380,0,0,Graduation,Divorced,1954,64497,17,1170,48,320,42,32,5,11,4,9,8
2677,0,0,Graduation,Together,1956,46097,11,72,24,68,65,4,5,3,1,6,4
6521,0,0,Graduation,Together,1954,77972,18,613,22,319,33,102,1,4,6,9,1
6927,0,0,PhD,Married,1968,44377,70,224,0,30,0,0,8,5,1,5,8
2877,0,0,Master,Together,1974,46014,21,410,0,59,19,9,10,7,1,8,7
0,0,0,Graduation,Married,1985,70951,66,239,10,554,254,87,1,3,4,9,1
1584,0,0,Graduation,Married,1977,41443,79,171,7,171,25,19,6,8,1,5,8
7264,0,0,2n Cycle,Single,1978,52195,2,12,0,4,0,0,1,1,0,2,8
6274,0,0,Master,Married,1948,83790,81,1076,16,417,42,48,1,8,10,6,3
1377,0,0,Master,Widow,1954,44551,24,182,4,33,0,0,2,4,1,5,7
454,0,0,Graduation,Together,1980,69508,48,824,32,162,42,32,2,11,4,11,6
1755,0,0,2n Cycle,Together,1988,45204,93,30,11,25,29,1,1,1,1,4,3
2075,0,0,Graduation,Married,1969,72460,56,377,10,540,80,30,1,3,5,7,1
4785,0,0,PhD,Together,1970,77622,3,520,7,154,19,0,2,6,3,11,3
9076,0,0,PhD,Married,1980,30732,44,155,1,25,0,1,4,4,1,4,8
7079,0,0,Graduation,Divorced,1962,63887,38,897,23,207,15,11,5,9,6,12,6
4653,0,0,Graduation,Together,1978,42011,46,131,0,16,2,1,4,3,1,4,8
7375,0,0,Graduation,Together,1976,51369,84,297,7,79,0,11,2,8,2,4,8
709,0,0,Graduation,Divorced,1952,51537,27,787,20,204,0,0,3,2,2,11,8
460,0,0,PhD,Married,1972,79930,72,792,86,740,67,51,1,3,5,8,2
3726,0,0,PhD,Together,1986,34320,66,4,1,9,3,0,1,1,0,2,8
6798,0,0,Graduation,Single,1966,37070,30,231,7,137,4,15,9,5,1,8,7
5341,0,0,2n Cycle,Divorced,1962,81975,2,983,76,184,180,138,1,6,3,4,7
1606,0,0,Graduation,Together,1971,38590,65,3,1,8,4,3,1,1,0,2,8
9617,0,0,Graduation,Single,1951,15033,37,0,4,5,6,0,1,1,0,3,3
3233,0,0,PhD,Married,1965,62745,89,562,21,464,28,10,3,7,8,11,5
89,0,0,2n Cycle,Married,1975,22212,49,5,9,20,6,8,2,2,0,4,6
2936,0,0,Master,Together,1982,23661,46,18,0,4,0,0,1,1,0,3,7
9449,0,0,PhD,Single,1958,79761,32,415,5,124,15,35,1,5,2,11,3
7297,0,0,Graduation,Single,1973,7500,54,5,3,10,12,7,4,3,1,3,7
11004,0,0,2n Cycle,Single,1893,60182,23,8,0,5,7,0,1,1,0,2,4
313,0,0,Graduation,Widow,1968,73455,98,901,61,757,186,163,1,6,5,10,3
9940,0,0,Graduation,Together,1958,64961,97,382,114,276,75,124,2,6,4,4,3
10735,0,0,Graduation,Single,1971,22804,75,14,1,7,2,1,1,2,0,2,9
9529,1,0,Graduation,Married,1990,73687,8,559,153,503,218,13,1,3,9,9,2
6439,0,0,Graduation,Married,1958,61074,37,789,0,133,0,28,7,11,5,8,7
7411,0,0,PhD,Married,1964,31686,31,11,0,5,0,0,2,1,0,3,6
2176,1,0,Graduation,Married,1972,80134,40,1218,16,272,104,0,2,5,3,6,6
9265,0,0,Graduation,Married,1953,75027,74,925,64,179,133,12,2,9,4,6,5
8867,0,0,PhD,Married,1988,67546,90,864,134,768,150,38,1,4,10,5,3
8932,0,0,Master,Together,1969,65176,57,960,28,183,220,70,4,9,6,6,6
10236,0,0,Master,Single,1975,31160,59,16,3,25,6,1,2,2,0,3,8
6340,0,0,Graduation,Single,1985,29938,52,3,3,7,0,2,2,1,0,3,6
10089,1,1,Graduation,Divorced,1974,102692,5,168,148,444,32,172,1,6,9,13,2
2227,0,0,2n Cycle,Together,1958,26490,92,45,47,52,21,20,2,3,1,5,6
10992,0,0,Graduation,Together,1967,75702,77,650,28,353,45,42,5,4,6,11,8
5304,0,0,PhD,Single,1974,30899,35,24,0,8,0,0,2,1,0,3,6
309,0,0,PhD,Together,1961,63342,48,918,21,118,13,10,3,8,3,5,6
3406,0,0,Graduation,Single,1964,45989,97,138,33,87,28,24,4,3,2,7,3
2661,0,0,Graduation,Single,1964,18701,95,12,4,2,10,6,4,2,0,4,5
3153,0,0,PhD,Single,1957,40737,24,11,0,4,0,0,1,1,0,2,8
10264,0,0,Graduation,Divorced,1979,15287,60,1,2,8,4,3,2,1,1,2,7
1184,0,0,PhD,Divorced,1968,69674,46,554,41,215,11,0,3,10,2,10,5
4200,0,0,Master,Married,1970,44159,85,167,2,62,24,13,4,4,1,6,5
9396,0,0,PhD,Married,1978,37717,31,9,0,6,4,1,1,1,0,2,9
2387,0,0,Master,Together,1952,43776,9,177,2,71,3,2,6,5,2,4,8
6690,0,0,Master,Married,1966,38179,30,38,4,22,4,2,4,3,1,3,7
1225,0,0,Graduation,Married,1963,80124,47,483,84,398,205,84,1,3,7,8,1
9703,0,0,PhD,Married,1970,38097,70,77,2,35,0,1,4,3,2,2,7
291,0,0,Graduation,Married,1970,72940,13,182,74,298,162,149,1,3,3,6,1
4557,0,0,Graduation,Together,1970,22070,11,10,7,19,8,2,2,2,2,2,6
2379,0,0,Graduation,Single,1953,69267,31,778,44,499,95,73,2,3,4,5,7
5726,0,0,Master,Single,1983,31788,15,16,7,23,0,8,3,3,0,4,5
3066,0,0,PhD,Together,1975,61905,2,167,0,43,6,2,2,4,2,4,5
6336,0,0,Graduation,Married,1960,29315,55,13,2,14,8,7,4,2,0,4,6
10967,0,0,Graduation,Divorced,1963,33378,38,33,6,40,3,7,3,2,0,4,7
2304,0,0,PhD,Together,1963,66313,86,625,7,99,10,22,2,6,3,12,4
3445,0,0,Graduation,Single,1956,60714,56,216,162,224,101,92,2,7,4,10,5
7828,0,0,Master,Together,1981,77882,29,68,129,396,188,22,1,3,3,5,1
3762,1,0,PhD,Single,1986,69867,30,196,0,512,33,130,1,3,5,8,1
4391,0,0,Master,Divorced,1968,63841,64,635,15,100,20,7,1,9,3,9,6
4669,0,0,Basic,Married,1981,24480,46,4,19,9,28,25,3,3,0,4,7
10144,0,0,Graduation,Together,1976,51369,84,297,7,79,0,11,2,8,2,4,8
8652,0,0,Graduation,Together,1946,37760,20,84,5,38,150,12,2,4,1,6,7
1672,0,0,PhD,Together,1974,65640,74,204,7,149,20,15,1,5,1,8,2
8962,0,0,Master,Married,1975,44319,18,26,0,8,0,0,2,2,0,3,5
9974,0,0,Graduation,Married,1974,30631,75,15,6,20,4,5,1,3,1,2,7
10983,0,0,Graduation,Together,1952,75278,17,304,98,230,150,74,1,6,3,13,3
8148,0,0,Master,Together,1956,50898,88,285,28,242,55,114,13,6,2,12,5
10102,0,0,Graduation,Widow,1966,79946,19,395,183,565,166,141,1,5,11,5,3
4697,0,0,Master,Divorced,1949,35416,62,248,3,81,4,3,3,7,1,5,8
9262,0,0,2n Cycle,Together,1984,32414,11,20,6,5,0,9,1,1,0,3,7
7254,0,0,Graduation,Together,1969,38361,74,39,0,56,20,8,3,3,1,3,7
4543,0,0,Graduation,Married,1980,82497,32,777,129,573,216,21,1,2,7,9,4
4927,0,0,Graduation,Together,1971,16626,76,8,3,22,21,1,3,3,0,3,9
10451,0,0,Graduation,Together,1965,29672,6,9,1,3,0,4,1,0,0,3,6
2926,0,1,Master,Together,1952,55951,62,1241,0,80,0,13,3,3,6,11,8
2874,0,0,2n Cycle,Divorced,1988,35388,20,6,4,7,4,3,1,1,0,3,7
9738,0,0,Master,Together,1986,42386,43,65,4,16,0,4,1,3,0,3,8
7119,0,0,Graduation,Single,1982,68627,45,395,15,263,60,54,1,2,3,6,1
3924,0,0,PhD,Divorced,1965,57912,34,801,0,80,0,0,5,8,3,12,5
5827,0,0,Graduation,Divorced,1958,35246,53,36,0,12,2,2,4,3,1,3,5
5596,0,0,2n Cycle,Together,1956,58821,44,513,14,154,19,0,1,9,2,9,6
10812,0,0,PhD,Married,1978,46377,89,37,0,46,4,3,1,2,1,3,4
1717,0,0,Graduation,Single,1988,39747,43,80,15,93,20,13,3,5,1,4,8
9491,0,0,Graduation,Together,1984,23976,68,14,1,21,2,3,3,3,1,3,7
9274,1,0,Master,Married,1961,80950,44,525,147,112,219,147,1,6,7,9,2
6609,0,0,Graduation,Widow,1966,27038,64,1,26,25,17,23,1,3,0,3,9
6963,0,0,Graduation,Single,1947,77457,85,675,11,400,15,45,1,2,5,10,1
4440,0,0,Master,Married,1964,64100,93,509,0,27,0,0,1,8,3,6,7
1379,0,0,Master,Together,1992,42670,12,154,2,46,20,4,1,4,2,4,4
10032,0,0,Graduation,Divorced,1976,12571,86,3,5,14,2,12,4,3,1,3,6
2826,0,0,Graduation,Married,1967,22574,28,25,0,8,2,0,2,2,0,3,7
6320,0,0,Master,Single,1976,70893,42,768,44,561,77,44,1,6,6,10,3
3050,0,0,Graduation,Married,1966,54198,13,185,0,28,3,2,6,3,1,6,4
231,0,0,Master,Together,1956,28839,86,24,0,7,0,0,2,2,0,3,5
2392,0,0,Graduation,Married,1972,40321,59,44,4,21,6,0,2,3,0,3,7
9478,0,0,Graduation,Single,1985,66503,30,91,64,128,65,3,2,4,3,6,3
113,0,0,Graduation,Married,1951,30833,33,11,0,7,3,1,2,1,0,3,5
1802,0,0,Graduation,Married,1971,64795,23,412,5,119,38,29,3,3,3,12,2
520,0,0,Graduation,Married,1974,34421,81,3,3,7,6,2,1,1,0,2,7
8275,0,0,PhD,Divorced,1965,47025,6,16,0,3,0,0,1,1,0,2,7
9750,0,0,PhD,Divorced,1961,64325,41,731,60,353,78,12,5,10,3,5,7
2607,0,0,Graduation,Single,1953,40464,78,424,17,118,7,23,6,8,2,8,8
7214,0,0,Graduation,Married,1957,62187,49,792,0,275,45,45,1,4,8,5,3
5835,0,0,PhD,Divorced,1976,14849,39,21,2,28,3,2,3,2,0,4,8
3896,0,0,Graduation,Married,1984,27255,3,22,1,11,0,1,1,1,0,3,7
10350,0,0,PhD,Married,1950,54432,37,33,0,5,0,0,1,1,0,3,4
7786,0,0,PhD,Single,1986,29999,22,68,7,59,10,5,4,3,1,4,8
2861,0,0,Graduation,Single,1983,24072,79,9,1,6,3,0,1,1,0,2,8
663,0,0,PhD,Single,1989,33996,46,40,2,15,8,0,1,1,1,3,4
10675,0,0,PhD,Married,1956,66334,82,909,11,218,0,0,2,9,3,5,5
